,CH1,CH2,CH3
Second,Volt,Volt,Volt
-3.71920e-05,6.20e+00,1.40e+00,5.20e-02, 
-3.71520e-05,6.20e+00,1.20e+00,5.20e-02, 
-3.71120e-05,6.20e+00,1.40e+00,5.40e-02, 
-3.70720e-05,6.20e+00,1.20e+00,5.00e-02, 
-3.70320e-05,6.20e+00,1.40e+00,5.40e-02, 
-3.69920e-05,6.00e+00,1.20e+00,5.20e-02, 
-3.69520e-05,6.20e+00,1.40e+00,5.40e-02, 
-3.69120e-05,6.00e+00,1.20e+00,5.20e-02, 
-3.68720e-05,6.20e+00,1.40e+00,5.40e-02, 
-3.68320e-05,6.00e+00,1.40e+00,5.20e-02, 
-3.67920e-05,6.00e+00,1.20e+00,5.40e-02, 
-3.67520e-05,6.00e+00,1.20e+00,5.20e-02, 
-3.67120e-05,5.80e+00,1.40e+00,5.40e-02, 
-3.66720e-05,5.80e+00,1.40e+00,5.40e-02, 
-3.66320e-05,6.00e+00,1.20e+00,5.20e-02, 
-3.65920e-05,5.80e+00,1.20e+00,5.40e-02, 
-3.65520e-05,6.00e+00,1.40e+00,5.20e-02, 
-3.65120e-05,5.80e+00,1.40e+00,5.40e-02, 
-3.64720e-05,5.60e+00,1.20e+00,5.20e-02, 
-3.64320e-05,5.80e+00,1.40e+00,5.20e-02, 
-3.63920e-05,5.60e+00,1.20e+00,5.40e-02, 
-3.63520e-05,5.60e+00,1.40e+00,5.20e-02, 
-3.63120e-05,5.80e+00,1.20e+00,5.40e-02, 
-3.62720e-05,5.60e+00,1.20e+00,5.20e-02, 
-3.62320e-05,5.80e+00,1.40e+00,5.40e-02, 
-3.61920e-05,5.60e+00,1.40e+00,5.20e-02, 
-3.61520e-05,5.60e+00,1.20e+00,5.40e-02, 
-3.61120e-05,5.60e+00,1.40e+00,5.20e-02, 
-3.60720e-05,5.60e+00,1.20e+00,5.40e-02, 
-3.60320e-05,5.60e+00,1.40e+00,5.40e-02, 
-3.59920e-05,5.60e+00,1.20e+00,5.20e-02, 
-3.59520e-05,5.60e+00,1.20e+00,5.60e-02, 
-3.59120e-05,5.40e+00,1.40e+00,5.00e-02, 
-3.58720e-05,5.40e+00,1.20e+00,5.20e-02, 
-3.58320e-05,5.60e+00,1.40e+00,5.40e-02, 
-3.57920e-05,5.60e+00,1.40e+00,5.40e-02, 
-3.57520e-05,5.40e+00,1.20e+00,5.00e-02, 
-3.57120e-05,5.60e+00,1.20e+00,5.20e-02, 
-3.56720e-05,5.40e+00,1.40e+00,5.40e-02, 
-3.56320e-05,5.60e+00,1.40e+00,5.20e-02, 
-3.55920e-05,5.40e+00,1.20e+00,5.40e-02, 
-3.55520e-05,5.40e+00,1.20e+00,5.20e-02, 
-3.55120e-05,5.20e+00,1.40e+00,5.40e-02, 
-3.54720e-05,5.40e+00,1.20e+00,5.20e-02, 
-3.54320e-05,5.20e+00,1.40e+00,5.40e-02, 
-3.53920e-05,5.20e+00,1.20e+00,5.40e-02, 
-3.53520e-05,5.40e+00,1.40e+00,5.20e-02, 
-3.53120e-05,5.20e+00,1.40e+00,5.20e-02, 
-3.52720e-05,5.40e+00,1.20e+00,5.40e-02, 
-3.52320e-05,5.20e+00,1.40e+00,5.40e-02, 
-3.51920e-05,5.20e+00,1.20e+00,5.20e-02, 
-3.51520e-05,5.20e+00,1.20e+00,5.60e-02, 
-3.51120e-05,5.20e+00,1.40e+00,5.20e-02, 
-3.50720e-05,5.20e+00,1.20e+00,5.40e-02, 
-3.50320e-05,5.20e+00,1.40e+00,5.20e-02, 
-3.49920e-05,5.20e+00,1.40e+00,5.40e-02, 
-3.49520e-05,5.00e+00,1.20e+00,5.20e-02, 
-3.49120e-05,5.20e+00,1.40e+00,4.80e-02, 
-3.48720e-05,5.00e+00,2.00e+00,6.00e-02, 
