,CH1,CH2
Second,Volt,Volt
9.24000e-03,-4.80e+00,-5.60e-03, 
9.28000e-03,-5.60e+00,-2.40e-03, 
9.32000e-03,-6.00e+00,4.80e-03, 
9.36000e-03,-6.40e+00,-7.20e-03, 
9.40000e-03,-6.00e+00,4.00e-03, 
9.44000e-03,-6.40e+00,-5.60e-03, 
9.48000e-03,-6.00e+00,6.40e-03, 
9.52000e-03,-6.40e+00,3.20e-03, 
9.56000e-03,-6.40e+00,-8.00e-03, 
9.60000e-03,-6.40e+00,-5.60e-03, 
9.64000e-03,-6.80e+00,0.00e+00, 
9.68000e-03,-6.40e+00,-6.40e-03, 
9.72000e-03,-5.20e+00,0.00e+00, 
9.76000e-03,-4.80e+00,-9.60e-03, 
9.80000e-03,-5.20e+00,8.00e-04, 
9.84000e-03,-4.80e+00,-8.80e-03, 
9.88000e-03,-4.40e+00,8.00e-04, 
9.92000e-03,-4.80e+00,-1.12e-02, 
9.96000e-03,-4.00e+00,-3.20e-03, 
1.00000e-02,-4.40e+00,-3.20e-03, 
1.00400e-02,-3.60e+00,-1.12e-02, 
1.00800e-02,-3.60e+00,-1.60e-03, 
1.01200e-02,-3.20e+00,-1.04e-02, 
1.01600e-02,-3.60e+00,-5.60e-03, 
1.02000e-02,-2.80e+00,-1.36e-02, 
1.02400e-02,-2.80e+00,-8.80e-03, 
1.02800e-02,-2.00e+00,-2.40e-03, 
1.03200e-02,-2.00e+00,-4.00e-03, 
1.03600e-02,-1.60e+00,-8.00e-03, 
1.04000e-02,-1.60e+00,-1.36e-02, 
1.04400e-02,-8.00e-01,-4.80e-03, 
1.04800e-02,-8.00e-01,-1.12e-02, 
1.05200e-02,-4.00e-01,-4.00e-03, 
1.05600e-02,-8.00e-01,-2.40e-03, 
1.06000e-02,4.00e-01,-1.04e-02, 
1.06400e-02,4.00e-01,-1.12e-02, 
1.06800e-02,8.00e-01,-3.20e-03, 
1.07200e-02,8.00e-01,-5.60e-03, 
1.07600e-02,1.60e+00,-8.80e-03, 
1.08000e-02,1.60e+00,-5.60e-03, 
1.08400e-02,2.00e+00,-9.60e-03, 
1.08800e-02,2.00e+00,-5.60e-03, 
1.09200e-02,2.40e+00,-9.60e-03, 
1.09600e-02,2.40e+00,-1.12e-02, 
1.10000e-02,3.20e+00,-1.60e-03, 
1.10400e-02,2.80e+00,-8.80e-03, 
1.10800e-02,3.60e+00,8.00e-04, 
1.11200e-02,3.60e+00,-8.00e-03, 
1.11600e-02,3.60e+00,-1.60e-03, 
1.12000e-02,3.60e+00,-6.40e-03, 
1.12400e-02,3.60e+00,0.00e+00, 
1.12800e-02,3.60e+00,-8.00e-03, 
1.13200e-02,3.60e+00,-8.00e-04, 
1.13600e-02,3.60e+00,-2.40e-03, 
1.14000e-02,2.40e+00,-7.20e-03, 
1.14400e-02,2.80e+00,0.00e+00, 
1.14800e-02,2.40e+00,-8.80e-03, 
1.15200e-02,2.80e+00,-6.40e-03, 
1.15600e-02,2.40e+00,0.00e+00, 
1.16000e-02,2.80e+00,-1.60e-03, 
1.16400e-02,2.40e+00,-8.80e-03, 
1.16800e-02,2.80e+00,-5.60e-03, 
1.17200e-02,2.40e+00,-1.60e-03, 
1.17600e-02,2.00e+00,-1.04e-02, 
1.18000e-02,2.80e+00,-2.40e-03, 
1.18400e-02,2.80e+00,-7.20e-03, 
1.18800e-02,2.00e+00,-8.00e-04, 
1.19200e-02,2.40e+00,-5.60e-03, 
1.19600e-02,2.00e+00,8.00e-04, 
1.20000e-02,2.00e+00,3.20e-03, 
1.20400e-02,2.00e+00,-6.40e-03, 
1.20800e-02,1.60e+00,-4.80e-03, 
1.21200e-02,2.00e+00,1.60e-03, 
1.21600e-02,1.20e+00,-7.20e-03, 
1.22000e-02,1.60e+00,8.00e-04, 
1.22400e-02,1.60e+00,-5.60e-03, 
1.22800e-02,8.00e-01,2.40e-03, 
1.23200e-02,8.00e-01,8.00e-04, 
1.23600e-02,4.00e-01,-4.80e-03, 
1.24000e-02,8.00e-01,-7.20e-03, 
1.24400e-02,4.00e-01,8.00e-04, 
1.24800e-02,0.00e+00,8.00e-04, 
1.25200e-02,4.00e-01,-8.00e-03, 
1.25600e-02,0.00e+00,-4.80e-03, 
1.26000e-02,-4.00e-01,8.00e-04, 
1.26400e-02,-4.00e-01,-8.00e-03, 
1.26800e-02,-8.00e-01,1.60e-03, 
1.27200e-02,-8.00e-01,-5.60e-03, 
1.27600e-02,-8.00e-01,1.60e-03, 
1.28000e-02,-8.00e-01,2.40e-03, 
1.28400e-02,-1.60e+00,-5.60e-03, 
1.28800e-02,-1.20e+00,-8.00e-03, 
1.29200e-02,-1.60e+00,3.20e-03, 
1.29600e-02,-1.60e+00,-5.60e-03, 
1.30000e-02,-2.00e+00,-8.00e-04, 
1.30400e-02,-2.00e+00,8.00e-04, 
1.30800e-02,-2.00e+00,-7.20e-03, 
1.31200e-02,-2.00e+00,0.00e+00, 
1.31600e-02,-2.40e+00,-7.20e-03, 
1.32000e-02,-2.00e+00,-2.40e-03, 
1.32400e-02,-2.00e+00,-7.20e-03, 
1.32800e-02,-2.00e+00,0.00e+00, 
