,CH1,CH2
Second,Volt,Volt
3.74000e-03,1.64e+01,-1.36e-02, 
3.75000e-03,1.64e+01,-1.60e-03, 
3.76000e-03,1.64e+01,-8.00e-03, 
3.77000e-03,1.64e+01,0.00e+00, 
3.78000e-03,1.64e+01,-8.00e-04, 
3.79000e-03,1.68e+01,-8.80e-03, 
3.80000e-03,1.64e+01,-8.00e-03, 
3.81000e-03,1.68e+01,-1.60e-03, 
3.82000e-03,1.68e+01,-8.00e-03, 
3.83000e-03,8.40e+00,-8.00e-04, 
3.84000e-03,6.00e+00,-7.20e-03, 
3.85000e-03,-2.00e+00,1.60e-03, 
3.86000e-03,-8.00e-01,-4.00e-03, 
3.87000e-03,5.20e+00,-9.60e-03, 
3.88000e-03,5.20e+00,-2.40e-03, 
3.89000e-03,8.00e-01,-1.20e-02, 
3.90000e-03,0.00e+00,-3.20e-03, 
3.91000e-03,1.60e+00,-9.60e-03, 
3.92000e-03,2.00e+00,-8.00e-03, 
3.93000e-03,1.60e+00,8.00e-04, 
3.94000e-03,2.00e+00,-8.00e-04, 
3.95000e-03,4.00e-01,-1.12e-02, 
3.96000e-03,8.00e-01,-8.00e-03, 
3.97000e-03,1.60e+00,-8.00e-04, 
3.98000e-03,1.60e+00,-5.60e-03, 
3.99000e-03,8.00e-01,0.00e+00, 
4.00000e-03,8.00e-01,8.00e-04, 
4.01000e-03,1.20e+00,-5.60e-03, 
4.02000e-03,4.00e-01,0.00e+00, 
4.03000e-03,8.00e-01,-8.00e-03, 
4.04000e-03,8.00e-01,0.00e+00, 
4.05000e-03,8.00e-01,-5.60e-03, 
4.06000e-03,8.00e-01,-7.20e-03, 
4.07000e-03,4.00e-01,1.60e-03, 
4.08000e-03,0.00e+00,-8.00e-03, 
4.09000e-03,8.00e-01,-8.00e-04, 
4.10000e-03,8.00e-01,-8.00e-04, 
4.11000e-03,0.00e+00,-8.80e-03, 
4.12000e-03,8.00e-01,-8.80e-03, 
4.13000e-03,4.00e-01,0.00e+00, 
4.14000e-03,4.00e-01,-8.80e-03, 
4.15000e-03,8.00e-01,-8.00e-04, 
4.16000e-03,-4.00e-01,-8.00e-03, 
4.17000e-03,8.00e-01,8.00e-04, 
4.18000e-03,8.00e-01,-9.60e-03, 
4.19000e-03,4.00e-01,2.40e-03, 
4.20000e-03,4.00e-01,0.00e+00, 
4.21000e-03,8.00e-01,-7.20e-03, 
4.22000e-03,4.00e-01,8.00e-04, 
4.23000e-03,-4.00e-01,-8.00e-03, 
4.24000e-03,8.00e-01,0.00e+00, 
4.25000e-03,4.00e-01,-8.00e-03, 
4.26000e-03,0.00e+00,0.00e+00, 
4.27000e-03,8.00e-01,-9.60e-03, 
4.28000e-03,4.00e-01,0.00e+00, 
4.29000e-03,-4.00e-01,-9.60e-03, 
4.30000e-03,8.00e-01,0.00e+00, 
4.31000e-03,0.00e+00,-9.60e-03, 
4.32000e-03,0.00e+00,-1.20e-02, 
4.33000e-03,4.00e-01,-2.40e-03, 
4.34000e-03,0.00e+00,-1.04e-02, 
4.35000e-03,8.00e-01,0.00e+00, 
4.36000e-03,4.00e-01,-2.40e-03, 
4.37000e-03,-4.00e-01,-9.60e-03, 
4.38000e-03,0.00e+00,8.00e-04, 
4.39000e-03,8.00e-01,-8.00e-03, 
4.40000e-03,4.00e-01,-9.60e-03, 
4.41000e-03,-8.00e-01,-8.00e-04, 
4.42000e-03,8.00e-01,-1.60e-03, 
4.43000e-03,0.00e+00,-9.60e-03, 
4.44000e-03,8.00e-01,1.60e-03, 
4.45000e-03,0.00e+00,-7.20e-03, 
4.46000e-03,-8.00e-01,-5.60e-03, 
4.47000e-03,4.00e-01,8.00e-04, 
4.48000e-03,0.00e+00,-7.20e-03, 
4.49000e-03,8.00e-01,1.60e-03, 
4.50000e-03,0.00e+00,-2.40e-03, 
4.51000e-03,8.00e-01,-8.00e-03, 
4.52000e-03,8.00e-01,-8.00e-04, 
4.53000e-03,-8.00e-01,-8.00e-03, 
4.54000e-03,4.00e-01,0.00e+00, 
4.55000e-03,8.00e-01,-8.00e-03, 
4.56000e-03,4.00e-01,-8.00e-03, 
4.57000e-03,-4.00e-01,0.00e+00, 
4.58000e-03,0.00e+00,-8.00e-03, 
4.59000e-03,-4.00e-01,1.60e-03, 
4.60000e-03,8.00e-01,-8.80e-03, 
4.61000e-03,-8.00e-01,8.00e-04, 
4.62000e-03,-4.00e-01,-8.00e-03, 
4.63000e-03,8.00e-01,0.00e+00, 
4.64000e-03,8.00e-01,8.00e-04, 
4.65000e-03,-8.00e-01,-6.40e-03, 
4.66000e-03,0.00e+00,-6.40e-03, 
4.67000e-03,4.00e-01,8.00e-04, 
4.68000e-03,-4.00e-01,8.00e-04, 
4.69000e-03,8.00e-01,-7.20e-03, 
4.70000e-03,4.00e-01,-1.60e-03, 
4.71000e-03,-8.00e-01,-8.80e-03, 
4.72000e-03,4.00e-01,-2.40e-03, 
4.73000e-03,0.00e+00,-7.20e-03, 
4.74000e-03,-4.00e-01,-4.00e-03, 
4.75000e-03,1.20e+00,2.40e-03, 
4.76000e-03,4.00e-01,-5.60e-03, 
4.77000e-03,-8.00e-01,-2.40e-03, 
4.78000e-03,-8.00e-01,-1.60e-03, 
4.79000e-03,4.00e-01,-8.00e-03, 
4.80000e-03,0.00e+00,-8.00e-03, 
4.81000e-03,8.00e-01,0.00e+00, 
4.82000e-03,4.00e-01,-8.00e-04, 
4.83000e-03,-8.00e-01,-8.80e-03, 
4.84000e-03,4.00e-01,-8.00e-03, 
4.85000e-03,0.00e+00,0.00e+00, 
4.86000e-03,4.00e-01,-1.60e-03, 
4.87000e-03,-8.00e-01,-8.80e-03, 
4.88000e-03,8.00e-01,-9.60e-03, 
4.89000e-03,0.00e+00,-1.60e-03, 
4.90000e-03,0.00e+00,-8.80e-03, 
4.91000e-03,-4.00e-01,0.00e+00, 
4.92000e-03,0.00e+00,-8.00e-04, 
4.93000e-03,8.00e-01,-8.00e-03, 
4.94000e-03,4.00e-01,-8.00e-04, 
4.95000e-03,-4.00e-01,-8.00e-03, 
4.96000e-03,4.00e-01,-1.04e-02, 
4.97000e-03,-4.00e-01,8.00e-04, 
4.98000e-03,-8.00e-01,-7.20e-03, 
4.99000e-03,4.00e-01,0.00e+00, 
5.00000e-03,8.00e-01,-5.60e-03, 
5.01000e-03,0.00e+00,2.40e-03, 
5.02000e-03,0.00e+00,8.00e-04, 
5.03000e-03,-8.00e-01,-7.20e-03, 
5.04000e-03,0.00e+00,-7.20e-03, 
5.05000e-03,8.00e-01,8.00e-04, 
5.06000e-03,4.00e-01,-7.20e-03, 
5.07000e-03,-4.00e-01,3.20e-03, 
5.08000e-03,0.00e+00,-1.60e-03, 
