,CH1,CH2,CH3
Second,Volt,Volt,Volt
-3.37920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.37520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.37120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.36720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.36320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.35920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.35520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.35120e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.34720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.34320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.33920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.33520e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.33120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.32720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.32320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.31920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.31520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.31120e-05,-4.00e-01,4.00e-01,2.00e-03, 
-3.30720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.30320e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.29920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.29520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.29120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.28720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.28320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.27920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.27520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.27120e-05,-2.00e-01,4.00e-01,6.00e-03, 
-3.26720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.26320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.25920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.25520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.25120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.24720e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.24320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.23920e-05,-2.00e-01,4.00e-01,6.00e-03, 
