,CH1,CH2
Second,Volt,Volt
2.76000e-03,-8.00e-01,0.00e+00, 
2.77000e-03,-4.00e-01,-8.00e-03, 
2.78000e-03,-4.00e-01,1.60e-03, 
2.79000e-03,4.00e-01,-8.00e-03, 
2.80000e-03,0.00e+00,-2.40e-03, 
2.81000e-03,-8.00e-01,-9.60e-03, 
2.82000e-03,-8.00e-01,3.20e-03, 
2.83000e-03,0.00e+00,-7.20e-03, 
2.84000e-03,0.00e+00,-9.60e-03, 
2.85000e-03,-8.00e-01,8.00e-04, 
2.86000e-03,0.00e+00,8.00e-04, 
2.87000e-03,-4.00e-01,-1.12e-02, 
2.88000e-03,-8.00e-01,-8.80e-03, 
2.89000e-03,-4.00e-01,2.40e-03, 
2.90000e-03,-4.00e-01,8.00e-04, 
2.91000e-03,0.00e+00,-7.20e-03, 
2.92000e-03,0.00e+00,8.00e-04, 
2.93000e-03,-8.00e-01,-8.80e-03, 
2.94000e-03,-8.00e-01,-7.20e-03, 
2.95000e-03,0.00e+00,0.00e+00, 
2.96000e-03,0.00e+00,-8.00e-04, 
2.97000e-03,-4.00e-01,-7.20e-03, 
2.98000e-03,0.00e+00,0.00e+00, 
2.99000e-03,-4.00e-01,-8.00e-03, 
3.00000e-03,0.00e+00,-8.00e-03, 
3.01000e-03,-8.00e-01,1.60e-03, 
3.02000e-03,-8.00e-01,-6.40e-03, 
3.03000e-03,0.00e+00,0.00e+00, 
3.04000e-03,-4.00e-01,1.60e-03, 
3.05000e-03,4.00e-01,-6.40e-03, 
3.06000e-03,0.00e+00,-8.00e-03, 
3.07000e-03,-8.00e-01,8.00e-04, 
3.08000e-03,-4.00e-01,-8.80e-03, 
3.09000e-03,4.00e-01,0.00e+00, 
3.10000e-03,0.00e+00,0.00e+00, 
3.11000e-03,-4.00e-01,-5.60e-03, 
3.12000e-03,0.00e+00,-7.20e-03, 
3.13000e-03,-4.00e-01,8.00e-04, 
3.14000e-03,0.00e+00,-9.60e-03, 
3.15000e-03,-4.00e-01,-3.20e-03, 
3.16000e-03,-4.00e-01,-8.00e-03, 
3.17000e-03,4.00e-01,-1.60e-03, 
3.18000e-03,-8.00e-01,-2.40e-03, 
3.19000e-03,4.00e-01,-9.60e-03, 
3.20000e-03,-8.00e-01,-8.00e-03, 
3.21000e-03,0.00e+00,0.00e+00, 
3.22000e-03,4.00e-01,0.00e+00, 
3.23000e-03,-4.00e-01,-8.00e-03, 
3.24000e-03,0.00e+00,-2.40e-03, 
3.25000e-03,-8.00e-01,-1.04e-02, 
3.26000e-03,-4.00e-01,-9.60e-03, 
3.27000e-03,0.00e+00,0.00e+00, 
3.28000e-03,4.00e-01,-2.40e-03, 
3.29000e-03,-4.00e-01,-8.80e-03, 
3.30000e-03,0.00e+00,-1.60e-03, 
3.31000e-03,-8.00e-01,-1.12e-02, 
3.32000e-03,0.00e+00,-8.00e-04, 
3.33000e-03,-8.00e-01,-8.00e-03, 
3.34000e-03,-4.00e-01,-8.00e-03, 
3.35000e-03,4.00e-01,1.60e-03, 
3.36000e-03,-4.00e-01,-8.00e-04, 
3.37000e-03,0.00e+00,-6.40e-03, 
3.38000e-03,-8.00e-01,8.00e-04, 
3.39000e-03,0.00e+00,-7.20e-03, 
3.40000e-03,-8.00e-01,-5.60e-03, 
3.41000e-03,4.00e-01,3.20e-03, 
3.42000e-03,4.00e-01,8.00e-04, 
3.43000e-03,-8.00e-01,-8.00e-03, 
3.44000e-03,4.00e-01,8.00e-04, 
